mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
625-132112-0007_5652-19215-0035,625.0,M,5652.0,F
4640-19188-0014_1841-150351-0002,4640.0,F,1841.0,F
6019-3185-0033_4137-11702-0047,6019.0,M,4137.0,F
1926-147979-0038_4441-76263-0025,1926.0,F,4441.0,M
5339-14133-0052_1737-142397-0037,5339.0,F,1737.0,F
3723-171115-0043_8629-261139-0061,3723.0,M,8629.0,M
839-130898-0092_2436-2476-0004,839.0,M,2436.0,M
4898-28461-0062_6454-107462-0020,4898.0,M,6454.0,M
226-131533-0016_6818-68772-0002,226.0,F,6818.0,F
3112-9555-0028_7113-86041-0088,3112.0,F,7113.0,F
4397-15678-0013_7859-102518-0010,4397.0,M,7859.0,F
4813-248638-0038_4267-78186-0002,4813.0,M,4267.0,M
4160-11550-0010_1116-137572-0052,4160.0,F,1116.0,F
6064-300880-0012_5750-100289-0083,6064.0,F,5750.0,M
3526-175658-0022_163-122947-0044,3526.0,F,163.0,M
328-129766-0062_2514-149482-0001,328.0,F,2514.0,M
412-126975-0031_2136-5140-0016,412.0,M,2136.0,M
5463-39174-0025_1263-139804-0027,5463.0,M,1263.0,F
2182-181173-0016_6836-61803-0029,2182.0,F,6836.0,M
446-123502-0026_5163-39921-0018,446.0,M,5163.0,F
6272-70171-0019_201-127786-0015,6272.0,F,201.0,M
3112-9555-0083_298-126790-0001,3112.0,F,298.0,F
2007-132570-0047_3214-167602-0014,2007.0,F,3214.0,M
4640-19188-0012_7447-91186-0035,4640.0,F,7447.0,M
2289-152254-0004_8975-270782-0072,2289.0,M,8975.0,F
1081-125237-0014_6529-62554-0004,1081.0,M,6529.0,M
1970-26100-0010_4830-25898-0011,1970.0,F,4830.0,M
6064-56168-0033_4397-15678-0033,6064.0,F,4397.0,M
6529-62556-0014_2196-170379-0011,6529.0,M,2196.0,F
4481-17499-0027_3436-172171-0049,4481.0,F,3436.0,M
289-121652-0025_8123-275209-0011,289.0,F,8123.0,F
6078-54013-0062_7800-283492-0018,6078.0,F,7800.0,F
8419-293469-0021_322-124146-0000,8419.0,M,322.0,F
150-126112-0021_5393-19219-0004,150.0,F,5393.0,F
625-132112-0041_332-128985-0078,625.0,M,332.0,M
5393-19219-0019_4813-248638-0041,5393.0,F,4813.0,M
125-121124-0035_7794-295955-0023,125.0,F,7794.0,F
211-122442-0083_2989-138028-0028,211.0,F,2989.0,F
1926-147987-0016_8095-274346-0057,1926.0,F,8095.0,M
7635-105409-0025_2691-156755-0003,7635.0,F,2691.0,F
78-368-0013_4813-248641-0036,78.0,M,4813.0,M
8238-283452-0025_2159-179156-0033,8238.0,F,2159.0,M
1447-17506-0016_200-124140-0025,1447.0,F,200.0,F
5778-12761-0031_4788-91208-0022,5778.0,F,4788.0,M
196-122159-0008_32-4137-0011,196.0,M,32.0,F
1246-135815-0005_405-130894-0013,1246.0,F,405.0,M
2989-138035-0016_311-124404-0091,2989.0,F,311.0,M
27-123349-0005_2092-145709-0004,27.0,M,2092.0,F
5049-25947-0020_118-124588-0013,5049.0,M,118.0,M
1455-134435-0035_6437-66173-0046,1455.0,M,6437.0,M
5022-29411-0038_1553-140048-0026,5022.0,F,1553.0,F
1737-146161-0017_8630-305212-0016,1737.0,F,8630.0,M
7402-90848-0022_4680-16042-0020,7402.0,M,4680.0,F
4406-16882-0044_8238-274553-0006,4406.0,M,8238.0,F
5867-48852-0002_6476-57446-0086,5867.0,F,6476.0,F
405-130895-0035_3664-178355-0022,405.0,M,3664.0,M
1235-135887-0021_5688-41232-0022,1235.0,M,5688.0,F
4214-7146-0000_3214-167602-0033,4214.0,F,3214.0,M
7067-76048-0032_3436-172171-0023,7067.0,M,3436.0,M
8095-274346-0052_7148-7763-0017,8095.0,M,7148.0,F
4088-158077-0020_7402-59171-0043,4088.0,F,7402.0,M
2514-149482-0014_5652-19215-0048,2514.0,M,5652.0,F
5049-25947-0011_7367-86737-0020,5049.0,M,7367.0,M
298-126790-0007_1992-141719-0006,298.0,F,1992.0,F
7264-92314-0023_5561-41615-0044,7264.0,M,5561.0,F
2691-156750-0011_250-142286-0013,2691.0,F,250.0,F
5163-39921-0004_3983-5371-0025,5163.0,F,3983.0,F
2514-149482-0015_6367-65536-0042,2514.0,M,6367.0,M
8238-283452-0006_2416-152139-0039,8238.0,F,2416.0,F
211-122442-0009_7859-102521-0014,211.0,F,7859.0,F
332-128985-0029_7078-271888-0098,332.0,M,7078.0,F
5750-100289-0012_2289-152258-0004,5750.0,M,2289.0,M
3112-9555-0039_7800-283478-0011,3112.0,F,7800.0,F
4214-7146-0008_6848-252323-0003,4214.0,F,6848.0,M
3259-158083-0097_3242-67153-0004,3259.0,F,3242.0,M
7780-274562-0103_2691-156745-0026,7780.0,F,2691.0,F
233-155990-0028_4362-15663-0077,233.0,M,4362.0,F
5750-100289-0064_3983-5371-0006,5750.0,M,3983.0,F
3374-298025-0025_2007-132570-0040,3374.0,M,2007.0,F
4018-107338-0023_1098-133695-0087,4018.0,M,1098.0,F
8630-305213-0004_196-122152-0008,8630.0,M,196.0,M
3486-166424-0030_5390-24512-0001,3486.0,M,5390.0,M
1447-17506-0024_2843-152918-0041,1447.0,F,2843.0,M
103-1241-0041_5561-41615-0016,103.0,F,5561.0,F
2514-149482-0094_2518-154826-0022,2514.0,M,2518.0,M
8425-246962-0024_3374-298026-0027,8425.0,M,3374.0,M
3242-8112-0027_3235-11599-0007,3242.0,M,3235.0,F
1088-129236-0002_7505-258964-0018,1088.0,F,7505.0,M
7059-77900-0031_374-180298-0060,7059.0,F,374.0,M
8123-275209-0025_3830-12531-0029,8123.0,F,3830.0,M
8088-284756-0028_3723-171115-0042,8088.0,M,3723.0,M
1867-154071-0009_3664-178355-0009,1867.0,M,3664.0,M
1970-26100-0006_1363-135842-0005,1970.0,F,1363.0,F
5456-24741-0005_696-92939-0009,5456.0,M,696.0,F
5561-39621-0013_2159-179156-0013,5561.0,F,2159.0,M
4137-11701-0040_7505-258958-0025,4137.0,F,7505.0,M
669-129061-0057_446-123501-0058,669.0,F,446.0,M
625-132112-0028_2092-145706-0062,625.0,M,2092.0,F
6081-41997-0009_7859-102519-0049,6081.0,M,7859.0,F
587-41619-0018_3983-5331-0000,587.0,F,3983.0,F
6064-300880-0017_1355-39947-0000,6064.0,F,1355.0,M
3723-171115-0044_445-123860-0006,3723.0,M,445.0,M
254-12312-0003_1246-135815-0013,254.0,M,1246.0,F
4859-22176-0019_8797-294123-0090,4859.0,M,8797.0,M
6272-70168-0008_3374-298025-0016,6272.0,F,3374.0,M
118-47824-0006_3723-171631-0025,118.0,M,3723.0,M
696-93314-0061_78-369-0041,696.0,F,78.0,M
405-130894-0004_4195-186237-0010,405.0,M,4195.0,F
6437-66172-0012_1867-154071-0033,6437.0,M,1867.0,M
587-41619-0020_6078-54013-0035,587.0,F,6078.0,F
6078-54013-0058_3807-4923-0021,6078.0,F,3807.0,M
8629-261140-0045_4267-72637-0014,8629.0,M,4267.0,M
1081-125237-0060_8088-284756-0056,1081.0,M,8088.0,M
8629-261139-0068_302-123523-0021,8629.0,M,302.0,F
2518-154826-0015_7278-91083-0009,2518.0,M,7278.0,M
6818-76332-0053_887-123291-0016,6818.0,F,887.0,F
3526-175658-0024_6880-216547-0084,3526.0,F,6880.0,M
8609-283227-0046_1355-39947-0044,8609.0,M,1355.0,M
8063-274115-0030_1081-125237-0022,8063.0,M,1081.0,M
1594-135914-0089_8468-286673-0016,1594.0,M,8468.0,F
4640-19188-0036_1963-147036-0020,4640.0,F,1963.0,F
1553-140047-0050_669-129074-0019,1553.0,F,669.0,F
6385-34669-0027_4853-29413-0008,6385.0,F,4853.0,F
6476-96661-0013_4195-17507-0036,6476.0,F,4195.0,F
911-128684-0091_1723-141149-0036,911.0,M,1723.0,M
2289-152254-0025_6081-42010-0001,2289.0,M,6081.0,M
1334-135589-0103_3259-158083-0057,1334.0,M,3259.0,F
6476-96661-0021_1578-140045-0027,6476.0,F,1578.0,F
3242-8112-0019_5192-19397-0055,3242.0,M,5192.0,M
3982-178459-0039_2391-145015-0067,3982.0,F,2391.0,F
5393-19218-0017_26-496-0004,5393.0,F,26.0,M
8123-275216-0022_150-132655-0021,8123.0,F,150.0,F
1069-133699-0048_6531-61334-0083,1069.0,F,6531.0,F
7264-92314-0008_7402-59171-0021,7264.0,M,7402.0,M
6848-252322-0020_2836-5355-0004,6848.0,M,2836.0,F
7278-104730-0014_7800-283493-0009,7278.0,M,7800.0,F
7264-92310-0027_5163-18515-0035,7264.0,M,5163.0,F
6064-300880-0029_211-122442-0065,6064.0,F,211.0,F
839-130898-0044_1898-145715-0028,839.0,M,1898.0,F
5022-29405-0008_7067-76047-0025,5022.0,F,7067.0,M
3242-67153-0032_4859-22176-0000,3242.0,M,4859.0,M
298-126791-0022_5163-18515-0019,298.0,F,5163.0,F
6563-285357-0033_7517-100429-0002,6563.0,M,7517.0,F
2436-2481-0034_6454-93938-0001,2436.0,M,6454.0,M
6476-57446-0009_332-128985-0080,6476.0,F,332.0,M
909-131045-0036_250-140277-0009,909.0,M,250.0,F
5322-7678-0037_200-126784-0022,5322.0,M,200.0,F
2436-2477-0036_1841-150351-0022,2436.0,M,1841.0,F
7859-102519-0029_5688-15787-0024,7859.0,F,5688.0,F
8770-295465-0031_909-131045-0026,8770.0,M,909.0,M
6476-57446-0048_5652-19215-0043,6476.0,F,5652.0,F
6209-34600-0002_5652-19215-0053,6209.0,M,5652.0,F
4859-26870-0001_669-129061-0053,4859.0,M,669.0,F
426-122821-0015_1098-133695-0086,426.0,F,1098.0,F
4680-16026-0030_8095-274346-0047,4680.0,F,8095.0,M
2416-152137-0024_5778-54535-0045,2416.0,F,5778.0,F
1578-6379-0007_2007-149877-0003,1578.0,F,2007.0,F
201-122255-0034_8975-270782-0023,201.0,M,8975.0,F
87-121553-0011_5390-30102-0012,87.0,F,5390.0,M
196-122150-0016_5688-41232-0034,196.0,M,5688.0,F
1926-143879-0006_4267-78186-0026,1926.0,F,4267.0,M
8324-286683-0014_4267-78186-0023,8324.0,F,4267.0,M
2836-5355-0028_2764-36619-0033,2836.0,F,2764.0,F
1235-135887-0010_2136-5147-0040,1235.0,M,2136.0,M
5867-48852-0032_3214-167606-0001,5867.0,F,3214.0,M
8747-293952-0004_1898-145720-0007,8747.0,M,1898.0,F
2289-152258-0018_19-227-0053,2289.0,M,19.0,F
6000-86686-0009_289-121665-0004,6000.0,F,289.0,F
1594-135914-0105_412-126975-0033,1594.0,M,412.0,M
1743-142912-0002_201-127786-0003,1743.0,M,201.0,M
1263-141777-0026_5703-47198-0037,1263.0,F,5703.0,M
5678-43303-0014_374-180299-0014,5678.0,M,374.0,M
4859-29340-0007_4362-15663-0046,4859.0,M,4362.0,F
3242-67153-0017_7113-86041-0079,3242.0,M,7113.0,F
696-93314-0054_8770-295462-0025,696.0,F,8770.0,M
3440-171009-0049_8095-274346-0012,3440.0,F,8095.0,M
3947-13260-0012_8063-274115-0009,3947.0,F,8063.0,M
1926-147979-0016_3830-12531-0000,1926.0,F,3830.0,M
201-127786-0066_4137-11702-0056,201.0,M,4137.0,F
4051-11217-0028_7226-86965-0037,4051.0,F,7226.0,M
4362-15663-0078_3259-158083-0093,4362.0,F,3259.0,F
7067-76047-0031_8465-246940-0008,7067.0,M,8465.0,F
7264-92314-0004_2989-138028-0016,7264.0,M,2989.0,F
6147-34605-0022_1898-145724-0030,6147.0,F,1898.0,F
403-216-0028_322-124146-0035,403.0,F,322.0,F
5049-25947-0019_5022-29405-0017,5049.0,M,5022.0,F
6437-66173-0034_1455-138263-0029,6437.0,M,1455.0,M
5514-19192-0016_307-127539-0007,5514.0,F,307.0,M
1081-125237-0037_6925-80680-0023,1081.0,M,6925.0,M
1088-129236-0024_405-130894-0012,1088.0,F,405.0,M
1355-39947-0057_6367-65536-0048,1355.0,M,6367.0,M
4340-15220-0053_441-130108-0003,4340.0,F,441.0,F
3879-174923-0070_27-123349-0030,3879.0,F,27.0,M
2952-410-0030_3723-171631-0053,2952.0,M,3723.0,M
1970-26100-0024_8468-286673-0001,1970.0,F,8468.0,F
4051-10927-0025_332-128985-0022,4051.0,F,332.0,M
911-128684-0066_441-128988-0014,911.0,M,441.0,F
1624-168623-0026_481-123720-0077,1624.0,M,481.0,M
5789-57158-0000_19-198-0004,5789.0,F,19.0,F
103-1240-0026_19-198-0003,103.0,F,19.0,F
403-128339-0046_83-11691-0009,403.0,F,83.0,F
3879-173592-0018_8747-293952-0009,3879.0,F,8747.0,M
7447-91186-0036_3526-176653-0015,7447.0,M,3526.0,F
8063-274112-0013_8747-293952-0076,8063.0,M,8747.0,M
426-122821-0034_730-360-0014,426.0,F,730.0,F
8630-305213-0011_7402-90848-0001,8630.0,M,7402.0,M
6272-70191-0009_1963-142393-0040,6272.0,F,1963.0,F
4014-186176-0013_446-123501-0012,4014.0,M,446.0,M
5514-19192-0036_696-93314-0037,5514.0,F,696.0,F
4788-91208-0006_6563-63821-0019,4788.0,M,6563.0,M
5322-7679-0018_8630-305213-0034,5322.0,M,8630.0,M
2764-36619-0026_5867-48852-0026,2764.0,F,5867.0,F
5789-57195-0016_1624-168623-0025,5789.0,F,1624.0,M
118-124588-0007_1723-141149-0037,118.0,M,1723.0,M
6000-55211-0060_3664-178355-0003,6000.0,F,3664.0,M
3440-171006-0006_587-41611-0020,3440.0,F,587.0,F
4195-17507-0037_1970-28415-0038,4195.0,F,1970.0,F
2002-139469-0014_4014-186183-0028,2002.0,M,4014.0,M
831-130746-0040_6081-41997-0035,831.0,M,6081.0,M
39-121916-0009_1088-134315-0011,39.0,F,1088.0,F
1363-139304-0020_4267-287369-0001,1363.0,F,4267.0,M
2691-156750-0000_6563-63821-0004,2691.0,F,6563.0,M
3242-67153-0024_2196-170151-0029,3242.0,M,2196.0,F
5778-54535-0028_7517-100437-0012,5778.0,F,7517.0,F
481-123720-0063_8324-286683-0026,481.0,M,8324.0,F
8095-274348-0014_3374-298032-0041,8095.0,M,3374.0,M
328-129766-0026_3112-9555-0035,328.0,F,3112.0,F
1447-130550-0008_2911-7601-0041,1447.0,F,2911.0,M
4018-103416-0032_3699-175950-0018,4018.0,M,3699.0,M
7859-102521-0002_8312-279790-0043,7859.0,F,8312.0,F
696-92939-0033_3436-172171-0027,696.0,F,3436.0,M
4137-11702-0026_60-121082-0006,4137.0,F,60.0,M
7800-283492-0032_7517-100429-0028,7800.0,F,7517.0,F
7367-86737-0012_150-132655-0013,7367.0,M,150.0,F
4640-19187-0033_887-123289-0015,4640.0,F,887.0,F
163-122947-0052_8051-119902-0015,163.0,M,8051.0,F
6529-62554-0025_8226-274369-0059,6529.0,M,8226.0,M
5390-30102-0025_4362-15663-0040,5390.0,M,4362.0,F
6476-96661-0026_322-124147-0019,6476.0,F,322.0,F
4214-7146-0004_4406-16883-0033,4214.0,F,4406.0,M
3168-173565-0030_1898-145720-0014,3168.0,M,1898.0,F
6415-111615-0009_5808-48608-0053,6415.0,F,5808.0,M
7800-283478-0015_5750-100289-0026,7800.0,F,5750.0,M
26-495-0061_460-172357-0005,26.0,M,460.0,M
3879-173592-0007_5561-41615-0041,3879.0,F,5561.0,F
298-126791-0046_1363-139304-0045,298.0,F,1363.0,F
5463-39174-0001_8465-246947-0002,5463.0,M,8465.0,F
1578-6379-0013_4830-25904-0003,1578.0,F,4830.0,M
1081-125237-0027_5688-15787-0022,1081.0,M,5688.0,F
19-227-0009_6272-70168-0009,19.0,F,6272.0,F
1235-135883-0029_3699-19402-0015,1235.0,M,3699.0,M
3436-172171-0054_8629-261140-0021,3436.0,M,8629.0,M
7078-271888-0114_625-132112-0042,7078.0,F,625.0,M
8324-286682-0043_412-126975-0003,8324.0,F,412.0,M
3982-182255-0039_27-124992-0019,3982.0,F,27.0,M
481-123720-0046_7059-88364-0008,481.0,M,7059.0,F
1116-132847-0011_458-126294-0015,1116.0,F,458.0,M
5867-48852-0058_1334-135589-0024,5867.0,F,1334.0,M
8051-295385-0021_7178-34645-0005,8051.0,F,7178.0,F
4297-13006-0034_7312-92432-0006,4297.0,F,7312.0,M
8063-274117-0030_3664-11714-0026,8063.0,M,3664.0,M
4362-15663-0088_5867-48852-0077,4362.0,F,5867.0,F
7511-102419-0016_7312-92432-0011,7511.0,F,7312.0,M
1334-135589-0089_6019-3185-0029,1334.0,M,6019.0,M
6181-216552-0002_3259-158083-0013,6181.0,M,3259.0,F
5750-100289-0071_4813-248638-0013,5750.0,M,4813.0,M
302-123504-0006_8580-287364-0030,302.0,F,8580.0,M
3947-13262-0044_3242-67153-0023,3947.0,F,3242.0,M
302-123523-0009_4088-158077-0070,302.0,F,4088.0,F
1246-124548-0001_1034-121119-0021,1246.0,F,1034.0,M
19-227-0064_150-126112-0026,19.0,F,150.0,F
3699-175950-0015_1069-133709-0031,3699.0,M,1069.0,F
2182-150130-0002_460-172359-0029,2182.0,F,460.0,M
3374-298032-0008_2007-149877-0039,3374.0,M,2007.0,F
125-121342-0016_5678-43303-0027,125.0,F,5678.0,M
78-369-0008_6880-216547-0047,78.0,M,6880.0,M
39-121914-0038_5750-100289-0054,39.0,F,5750.0,M
839-130898-0098_5703-47212-0042,839.0,M,5703.0,M
4137-11702-0055_2196-174172-0012,4137.0,F,2196.0,F
5678-43302-0039_5867-48852-0011,5678.0,M,5867.0,F
6000-55211-0006_1447-17506-0027,6000.0,F,1447.0,F
1069-133709-0052_40-121026-0031,1069.0,F,40.0,F
2182-181173-0030_4898-20016-0023,2182.0,F,4898.0,M
3436-172162-0030_8238-274553-0015,3436.0,M,8238.0,F
5867-48852-0000_4362-15663-0100,5867.0,F,4362.0,F
2416-152139-0015_1743-142913-0021,2416.0,F,1743.0,M
7511-102420-0021_3664-178355-0011,7511.0,F,3664.0,M
1898-145715-0005_7517-100429-0029,1898.0,F,7517.0,F
4830-25898-0010_8095-274345-0015,4830.0,M,8095.0,M
2843-152918-0049_2691-156750-0025,2843.0,M,2691.0,F
7367-86737-0076_6925-80680-0008,7367.0,M,6925.0,M
2952-410-0031_89-219-0011,2952.0,M,89.0,F
302-123523-0016_7148-7763-0020,302.0,F,7148.0,F
8238-283452-0019_8609-283227-0033,8238.0,F,8609.0,M
1455-138263-0023_4362-15663-0004,1455.0,M,4362.0,F
4297-13006-0031_4160-14187-0016,4297.0,F,4160.0,F
5022-29411-0013_7517-100437-0031,5022.0,F,7517.0,F
3807-4955-0014_1088-134315-0050,3807.0,M,1088.0,F
696-93314-0029_6272-70171-0014,696.0,F,6272.0,F
5867-48852-0112_322-124147-0050,5867.0,F,322.0,F
311-124404-0066_1578-140045-0004,311.0,M,1578.0,F
3983-5331-0029_8609-283227-0040,3983.0,F,8609.0,M
8468-294887-0014_7780-274562-0027,8468.0,F,7780.0,F
6367-74004-0005_19-227-0023,6367.0,M,19.0,F
2007-132570-0044_2159-179154-0018,2007.0,F,2159.0,M
1263-141777-0029_3947-13260-0020,1263.0,F,3947.0,F
8312-279790-0030_8468-295198-0020,8312.0,F,8468.0,F
4680-16041-0007_8312-279791-0039,4680.0,F,8312.0,F
5688-41232-0029_3436-172171-0025,5688.0,F,3436.0,M
4051-11217-0031_4088-158077-0044,4051.0,F,4088.0,F
5393-19218-0007_7511-102420-0041,5393.0,F,7511.0,F
7859-102519-0035_211-122442-0073,7859.0,F,211.0,F
7367-86737-0042_125-121124-0041,7367.0,M,125.0,F
3240-131232-0031_7800-283493-0029,3240.0,M,7800.0,F
7517-100442-0034_332-128985-0068,7517.0,F,332.0,M
1235-135883-0002_8088-284756-0117,1235.0,M,8088.0,M
7402-90848-0027_1578-140049-0018,7402.0,M,1578.0,F
3259-158083-0061_5703-47212-0016,3259.0,F,5703.0,M
8797-294123-0061_1502-122615-0037,8797.0,M,1502.0,F
5022-29405-0036_322-124146-0012,5022.0,F,322.0,F
5322-7678-0013_1455-138263-0044,5322.0,M,1455.0,M
1034-121119-0038_2764-36619-0031,1034.0,M,2764.0,F
4214-7146-0042_2136-5143-0023,4214.0,F,2136.0,M
5678-43302-0008_1867-154075-0013,5678.0,M,1867.0,M
5561-41615-0033_125-121342-0014,5561.0,F,125.0,F
3259-158083-0023_7511-102420-0026,3259.0,F,7511.0,F
2911-15084-0009_8770-295465-0012,2911.0,M,8770.0,M
8238-274553-0030_8630-305213-0040,8238.0,F,8630.0,M
6529-62554-0034_6078-54013-0041,6529.0,M,6078.0,F
6064-56165-0019_5104-33406-0039,6064.0,F,5104.0,M
6531-61334-0119_1867-148436-0006,6531.0,F,1867.0,M
1553-140047-0021_5750-100289-0020,1553.0,F,5750.0,M
403-128339-0014_2893-139310-0006,403.0,F,2893.0,M
8609-283227-0015_4441-76262-0031,8609.0,M,4441.0,M
