mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex
26-496-0008_4195-186236-0011_1841-159771-0027_2002-139469-0032_4014-186175-0016,26.0,M,4195.0,F,1841.0,F,2002.0,M,4014.0,M
7226-86965-0026_1334-135589-0029_1553-140047-0016_211-122442-0011_125-121124-0049,7226.0,M,1334.0,M,1553.0,F,211.0,F,125.0,F
60-121082-0067_5339-14134-0049_7190-90542-0056_4788-294466-0007_8238-274553-0027,60.0,M,5339.0,F,7190.0,M,4788.0,M,8238.0,F
7226-86965-0041_8465-246940-0021_6880-216547-0087_3436-172162-0003_6818-68772-0007,7226.0,M,8465.0,F,6880.0,M,3436.0,M,6818.0,F
405-130895-0012_8629-261140-0018_7264-92314-0007_1088-134315-0016_2764-36617-0008,405.0,M,8629.0,M,7264.0,M,1088.0,F,2764.0,F
2092-145706-0006_5390-30102-0022_8419-286667-0018_669-129074-0017_8580-287364-0004,2092.0,F,5390.0,M,8419.0,M,669.0,F,8580.0,M
3259-158083-0124_4195-186236-0014_1355-39947-0049_1116-137572-0028_1553-140047-0045,3259.0,F,4195.0,F,1355.0,M,1116.0,F,1553.0,F
7402-90848-0012_1963-142393-0041_8312-279790-0003_8419-293473-0015_6367-65536-0033,7402.0,M,1963.0,F,8312.0,F,8419.0,M,6367.0,M
7505-258964-0047_2910-131096-0068_5750-100289-0081_5393-19219-0047_289-121652-0034,7505.0,M,2910.0,F,5750.0,M,5393.0,F,289.0,F
1235-135887-0001_1502-122619-0066_5778-54535-0048_587-54108-0020_6019-3185-0096,1235.0,M,1502.0,F,5778.0,F,587.0,F,6019.0,M
5688-41232-0066_5463-39173-0057_7178-34645-0027_3879-173592-0028_4788-91208-0019,5688.0,F,5463.0,M,7178.0,F,3879.0,F,4788.0,M
1088-134315-0053_6000-55211-0017_4195-186238-0024_1455-134435-0073_6925-80680-0007,1088.0,F,6000.0,F,4195.0,F,1455.0,M,6925.0,M
587-54108-0013_5339-14133-0024_1898-145720-0012_4898-28461-0006_118-47824-0075,587.0,F,5339.0,F,1898.0,F,4898.0,M,118.0,M
8108-274318-0010_5750-100289-0016_1926-147979-0029_4088-158077-0011_7517-100429-0020,8108.0,M,5750.0,M,1926.0,F,4088.0,F,7517.0,F
118-47824-0043_150-126112-0002_1624-142933-0016_6367-65536-0039_3699-175950-0014,118.0,M,150.0,F,1624.0,M,6367.0,M,3699.0,M
374-180298-0002_403-128339-0001_1723-141149-0091_1594-135914-0059_1263-139804-0028,374.0,M,403.0,F,1723.0,M,1594.0,M,1263.0,F
3664-178355-0010_7794-295948-0014_7078-271888-0017_289-121652-0032_78-368-0038,3664.0,M,7794.0,F,7078.0,F,289.0,F,78.0,M
4788-294466-0024_87-121553-0066_332-128985-0017_2764-36617-0022_6147-34605-0027,4788.0,M,87.0,F,332.0,M,2764.0,F,6147.0,F
3983-5371-0039_3982-178459-0007_3607-135982-0047_4014-186183-0023_6836-76549-0016,3983.0,F,3982.0,F,3607.0,M,4014.0,M,6836.0,M
8629-261139-0015_4680-16042-0027_5192-19397-0059_6272-70168-0032_6836-76549-0032,8629.0,M,4680.0,F,5192.0,M,6272.0,F,6836.0,M
118-47824-0041_7302-86814-0046_1624-142933-0018_19-198-0014_3807-4955-0032,118.0,M,7302.0,F,1624.0,M,19.0,F,3807.0,M
2416-152139-0054_8468-295198-0016_5104-33407-0009_5393-19219-0038_3240-131231-0045,2416.0,F,8468.0,F,5104.0,M,5393.0,F,3240.0,M
4680-16042-0033_1447-130551-0016_6848-76049-0020_40-222-0038_298-126791-0030,4680.0,F,1447.0,F,6848.0,M,40.0,F,298.0,F
1334-135589-0103_5393-19219-0001_2289-152258-0037_1624-168623-0007_311-124404-0094,1334.0,M,5393.0,F,2289.0,M,1624.0,M,311.0,M
3440-171009-0033_8465-246947-0024_307-127540-0021_831-130739-0054_8088-284756-0012,3440.0,F,8465.0,F,307.0,M,831.0,M,8088.0,M
446-123502-0040_1455-138263-0010_4853-27670-0017_3723-171631-0009_7302-86815-0079,446.0,M,1455.0,M,4853.0,F,3723.0,M,7302.0,F
3214-167607-0036_302-123516-0024_1867-154075-0009_1447-130551-0025_5703-47198-0035,3214.0,M,302.0,F,1867.0,M,1447.0,F,5703.0,M
1455-134435-0011_5163-39921-0048_1081-125237-0075_3807-4923-0028_5789-70653-0003,1455.0,M,5163.0,F,1081.0,M,3807.0,M,5789.0,F
40-121026-0038_8095-274345-0022_5678-43303-0012_5022-29411-0020_7780-274562-0066,40.0,F,8095.0,M,5678.0,M,5022.0,F,7780.0,F
7859-102519-0039_89-219-0053_730-360-0027_7517-100437-0026_5456-62043-0025,7859.0,F,89.0,F,730.0,F,7517.0,F,5456.0,M
7178-34644-0041_625-132118-0034_1926-147987-0019_5192-19397-0077_1334-135589-0060,7178.0,F,625.0,M,1926.0,F,5192.0,M,1334.0,M
8747-293952-0044_2518-154826-0007_4481-17498-0035_5652-39938-0035_2092-145709-0016,8747.0,M,2518.0,M,4481.0,F,5652.0,F,2092.0,F
302-123504-0002_8312-279790-0006_7367-86737-0088_7059-88364-0015_4813-248638-0041,302.0,F,8312.0,F,7367.0,M,7059.0,F,4813.0,M
6836-61803-0008_1992-141719-0018_2989-138035-0046_6529-62554-0032_1723-141149-0037,6836.0,M,1992.0,F,2989.0,F,6529.0,M,1723.0,M
730-359-0012_322-124147-0076_7078-271888-0044_125-121124-0052_3374-298025-0020,730.0,F,322.0,F,7078.0,F,125.0,F,3374.0,M
3240-131231-0071_1502-122619-0000_8975-270782-0069_1088-134318-0012_7148-7763-0030,3240.0,M,1502.0,F,8975.0,F,1088.0,F,7148.0,F
7402-90848-0049_8098-275181-0022_4362-15663-0017_5022-29411-0050_8770-295465-0026,7402.0,M,8098.0,M,4362.0,F,5022.0,F,8770.0,M
7226-86965-0025_2182-181173-0004_3168-173565-0000_1034-121119-0051_196-122152-0016,7226.0,M,2182.0,F,3168.0,M,1034.0,M,196.0,M
8051-119902-0020_5104-33406-0010_2952-410-0037_1898-145720-0004_3526-176653-0008,8051.0,F,5104.0,M,2952.0,M,1898.0,F,3526.0,F
1363-135842-0029_3240-131232-0020_1034-121119-0054_2911-15084-0012_5390-24512-0035,1363.0,F,3240.0,M,1034.0,M,2911.0,M,5390.0,M
7859-102521-0007_8051-119902-0013_441-128982-0005_7302-86815-0008_3947-13262-0044,7859.0,F,8051.0,F,441.0,F,7302.0,F,3947.0,F
730-359-0033_8747-293952-0063_1235-135887-0003_5867-48852-0037_6019-3185-0064,730.0,F,8747.0,M,1235.0,M,5867.0,F,6019.0,M
374-180299-0043_6563-285357-0023_4137-11701-0013_8088-284756-0017_298-126790-0035,374.0,M,6563.0,M,4137.0,F,8088.0,M,298.0,F
4397-15678-0006_8609-283227-0052_696-93314-0002_3440-171009-0061_3436-172171-0006,4397.0,M,8609.0,M,696.0,F,3440.0,F,3436.0,M
8051-295385-0031_7505-258958-0018_4441-76250-0037_8425-292520-0024_125-121124-0065,8051.0,F,7505.0,M,4441.0,M,8425.0,M,125.0,F
2007-149877-0033_3486-166424-0074_460-172357-0001_1594-135914-0066_8629-261139-0039,2007.0,F,3486.0,M,460.0,M,1594.0,M,8629.0,M
3259-158083-0046_5339-14133-0033_6064-56165-0009_7178-34644-0048_5808-54425-0056,3259.0,F,5339.0,F,6064.0,F,7178.0,F,5808.0,M
8419-286676-0025_4340-15220-0045_2836-5354-0015_7302-86815-0037_19-198-0005,8419.0,M,4340.0,F,2836.0,F,7302.0,F,19.0,F
8609-262281-0021_4397-15668-0037_4018-107338-0012_460-172359-0004_730-358-0032,8609.0,M,4397.0,M,4018.0,M,460.0,M,730.0,F
1594-135914-0073_8051-118101-0022_8630-305213-0028_1183-128659-0003_3235-11599-0028,1594.0,M,8051.0,F,8630.0,M,1183.0,F,3235.0,F
7226-86965-0008_6064-300880-0033_8425-291444-0000_5322-7678-0036_8747-293952-0050,7226.0,M,6064.0,F,8425.0,M,5322.0,M,8747.0,M
4406-16882-0063_1034-121119-0063_6880-216547-0047_403-216-0027_481-123720-0046,4406.0,M,1034.0,M,6880.0,M,403.0,F,481.0,M
6880-216547-0014_4397-15668-0002_3112-9554-0012_6367-65536-0011_6476-96661-0007,6880.0,M,4397.0,M,3112.0,F,6367.0,M,6476.0,F
8098-278278-0002_1246-124550-0023_40-222-0014_7302-86814-0006_2182-150130-0037,8098.0,M,1246.0,F,40.0,F,7302.0,F,2182.0,F
26-495-0090_2182-181173-0023_3699-19401-0003_3664-178366-0035_441-130108-0004,26.0,M,2182.0,F,3699.0,M,3664.0,M,441.0,F
4214-7146-0045_1867-148436-0023_4195-186236-0015_2159-179154-0020_1263-141777-0033,4214.0,F,1867.0,M,4195.0,F,2159.0,M,1263.0,F
1970-10594-0011_6848-252322-0007_7059-77900-0001_3436-172162-0027_2136-5147-0035,1970.0,F,6848.0,M,7059.0,F,3436.0,M,2136.0,M
4160-11549-0009_7113-86041-0052_5678-43303-0001_1081-125237-0046_8063-274117-0000,4160.0,F,7113.0,F,5678.0,M,1081.0,M,8063.0,M
2391-145015-0080_302-123504-0034_1455-138263-0020_374-180298-0065_1081-125237-0024,2391.0,F,302.0,F,1455.0,M,374.0,M,1081.0,M
307-127535-0045_1081-125237-0012_5463-39173-0030_669-129074-0003_3664-11714-0012,307.0,M,1081.0,M,5463.0,M,669.0,F,3664.0,M
3242-67153-0034_40-121026-0030_8324-286682-0020_3486-166424-0047_8465-246943-0009,3242.0,M,40.0,F,8324.0,F,3486.0,M,8465.0,F
2289-152254-0000_4340-15220-0088_3214-167606-0007_481-123720-0009_5652-39938-0030,2289.0,M,4340.0,F,3214.0,M,481.0,M,5652.0,F
2514-149482-0006_3983-5331-0034_4014-186176-0013_6476-57446-0018_6925-80680-0034,2514.0,M,3983.0,F,4014.0,M,6476.0,F,6925.0,M
8226-274369-0053_5390-30102-0002_8238-283452-0026_587-54108-0019_5808-54425-0009,8226.0,M,5390.0,M,8238.0,F,587.0,F,5808.0,M
248-130697-0013_3607-135982-0044_2691-156745-0018_1737-148989-0022_3235-11599-0025,248.0,F,3607.0,M,2691.0,F,1737.0,F,3235.0,F
2416-152137-0011_3214-167607-0032_8324-286681-0004_3947-13260-0047_7402-90848-0008,2416.0,F,3214.0,M,8324.0,F,3947.0,F,7402.0,M
298-126790-0022_446-123502-0003_6880-216547-0027_6272-70168-0033_8324-286682-0001,298.0,F,446.0,M,6880.0,M,6272.0,F,8324.0,F
4859-26870-0014_1034-121119-0010_201-122255-0033_298-126791-0054_426-122819-0031,4859.0,M,1034.0,M,201.0,M,298.0,F,426.0,F
4813-248641-0010_4137-11702-0035_1970-28415-0017_1447-17506-0012_1334-135589-0093,4813.0,M,4137.0,F,1970.0,F,1447.0,F,1334.0,M
1594-135914-0023_4788-94904-0030_2911-12359-0007_1963-147036-0001_1898-145715-0050,1594.0,M,4788.0,M,2911.0,M,1963.0,F,1898.0,F
7780-274562-0070_5808-48608-0024_2159-179156-0016_6836-76549-0019_200-126784-0001,7780.0,F,5808.0,M,2159.0,M,6836.0,M,200.0,F
7859-102519-0008_696-93314-0008_5778-54535-0036_2514-149482-0032_1743-142914-0016,7859.0,F,696.0,F,5778.0,F,2514.0,M,1743.0,M
1246-135815-0012_1723-141149-0070_2817-142371-0072_7302-86815-0045_5049-25947-0064,1246.0,F,1723.0,M,2817.0,F,7302.0,F,5049.0,M
5778-12761-0024_250-142276-0034_3242-8112-0033_1034-121119-0055_625-132118-0045,5778.0,F,250.0,F,3242.0,M,1034.0,M,625.0,M
1334-135589-0020_5463-39173-0002_4267-72637-0019_1235-135883-0000_5514-19193-0001,1334.0,M,5463.0,M,4267.0,M,1235.0,M,5514.0,F
5514-19192-0039_89-219-0000_4018-103416-0019_1034-121119-0085_4640-19188-0007,5514.0,F,89.0,F,4018.0,M,1034.0,M,4640.0,F
27-124992-0066_3983-5371-0043_2384-152900-0014_403-216-0002_2289-152257-0015,27.0,M,3983.0,F,2384.0,M,403.0,F,2289.0,M
7635-105661-0017_2893-139310-0045_4481-17498-0028_1116-132847-0025_311-124404-0074,7635.0,F,2893.0,M,4481.0,F,1116.0,F,311.0,M
5867-48852-0001_5456-62014-0003_2002-139469-0022_7178-34644-0027_7447-91186-0022,5867.0,F,5456.0,M,2002.0,M,7178.0,F,7447.0,M
2911-7601-0036_5808-48608-0047_32-21625-0014_909-131041-0013_3240-131232-0013,2911.0,M,5808.0,M,32.0,F,909.0,M,3240.0,M
6181-216552-0083_4680-16042-0034_5561-41616-0000_4830-25904-0042_5463-39173-0004,6181.0,M,4680.0,F,5561.0,F,4830.0,M,5463.0,M
8108-274318-0001_3723-171115-0030_1578-140045-0015_3259-158083-0027_5339-14133-0019,8108.0,M,3723.0,M,1578.0,F,3259.0,F,5339.0,F
7402-59171-0032_1578-6379-0001_7511-102419-0032_4898-20016-0038_118-47824-0002,7402.0,M,1578.0,F,7511.0,F,4898.0,M,118.0,M
1737-142396-0022_6454-120342-0033_2893-139310-0018_669-129061-0039_6181-216552-0040,1737.0,F,6454.0,M,2893.0,M,669.0,F,6181.0,M
7078-271888-0100_5808-48608-0014_32-4137-0040_7517-100429-0017_5463-39173-0018,7078.0,F,5808.0,M,32.0,F,7517.0,F,5463.0,M
8095-274346-0030_32-4137-0028_6529-62554-0021_7264-92310-0028_3235-28452-0021,8095.0,M,32.0,F,6529.0,M,7264.0,M,3235.0,F
2817-142371-0007_3983-5331-0036_6563-63821-0000_7794-295955-0000_7635-105409-0071,2817.0,F,3983.0,F,6563.0,M,7794.0,F,7635.0,F
6563-63821-0001_3259-158083-0017_7447-91186-0035_19-198-0027_8975-270782-0104,6563.0,M,3259.0,F,7447.0,M,19.0,F,8975.0,F
3699-47246-0021_3235-28452-0026_839-130898-0043_6848-76049-0003_6081-41997-0026,3699.0,M,3235.0,F,839.0,M,6848.0,M,6081.0,M
26-496-0014_6081-42010-0032_200-124139-0028_4214-7146-0001_1447-130551-0019,26.0,M,6081.0,M,200.0,F,4214.0,F,1447.0,F
5514-19193-0004_4137-11701-0008_6019-3185-0066_1455-134435-0062_27-123349-0036,5514.0,F,4137.0,F,6019.0,M,1455.0,M,27.0,M
730-360-0014_2391-145015-0116_2911-15045-0008_5393-19219-0017_3879-174923-0020,730.0,F,2391.0,F,2911.0,M,5393.0,F,3879.0,F
481-123719-0017_8063-274112-0028_4137-11702-0014_26-495-0005_669-129061-0050,481.0,M,8063.0,M,4137.0,F,26.0,M,669.0,F
1898-145715-0042_5339-14134-0072_5778-54535-0017_1970-26100-0008_2764-36619-0006,1898.0,F,5339.0,F,5778.0,F,1970.0,F,2764.0,F
8014-280382-0000_2289-152257-0023_8063-274117-0009_4441-76263-0010_2514-149482-0080,8014.0,F,2289.0,M,8063.0,M,4441.0,M,2514.0,M
2817-142371-0056_7148-7763-0035_669-129074-0021_248-130652-0028_311-124404-0111,2817.0,F,7148.0,F,669.0,F,248.0,F,311.0,M
6437-66173-0013_200-124140-0017_39-121916-0013_8123-275209-0007_4018-103416-0005,6437.0,M,200.0,F,39.0,F,8123.0,F,4018.0,M
150-126107-0023_426-122821-0042_4406-16882-0025_311-124404-0113_2196-174172-0025,150.0,F,426.0,F,4406.0,M,311.0,M,2196.0,F
2416-152139-0033_8609-283227-0041_3982-182255-0038_4788-91208-0002_5390-24512-0037,2416.0,F,8609.0,M,3982.0,F,4788.0,M,5390.0,M
7148-7763-0007_8098-278278-0003_4088-158077-0062_6064-56168-0033_1334-135589-0076,7148.0,F,8098.0,M,4088.0,F,6064.0,F,1334.0,M
7148-59157-0035_6081-41998-0042_8770-295462-0034_307-127535-0006_5514-19192-0048,7148.0,F,6081.0,M,8770.0,M,307.0,M,5514.0,F
1447-130550-0011_7113-86041-0012_2518-154826-0024_2196-174172-0012_4051-11218-0044,1447.0,F,7113.0,F,2518.0,M,2196.0,F,4051.0,F
1926-143879-0034_250-142276-0000_7148-59157-0038_2092-145706-0027_332-128985-0056,1926.0,F,250.0,F,7148.0,F,2092.0,F,332.0,M
4853-27671-0022_2836-5354-0021_1553-140048-0010_4088-158077-0001_831-130746-0057,4853.0,F,2836.0,F,1553.0,F,4088.0,F,831.0,M
1963-142776-0013_587-41619-0017_39-121916-0003_8324-286682-0035_1867-154071-0035,1963.0,F,587.0,F,39.0,F,8324.0,F,1867.0,M
211-122442-0078_6563-63821-0016_7113-86041-0083_4406-16883-0024_8312-279791-0019,211.0,F,6563.0,M,7113.0,F,4406.0,M,8312.0,F
6081-42010-0003_4088-158077-0024_1246-124548-0050_6000-86686-0016_3723-171631-0040,6081.0,M,4088.0,F,1246.0,F,6000.0,F,3723.0,M
254-127705-0016_7505-258964-0016_7635-105409-0014_1970-26100-0035_587-41611-0006,254.0,M,7505.0,M,7635.0,F,1970.0,F,587.0,F
911-130578-0003_198-209-0033_8108-280354-0009_8747-293952-0047_5750-100289-0018,911.0,M,198.0,F,8108.0,M,8747.0,M,5750.0,M
7190-90542-0023_8238-283452-0035_5339-14134-0012_5022-29411-0053_3723-171115-0051,7190.0,M,8238.0,F,5339.0,F,5022.0,F,3723.0,M
8425-287387-0017_3440-171006-0005_201-127786-0001_6531-61334-0047_1081-128618-0012,8425.0,M,3440.0,F,201.0,M,6531.0,F,1081.0,M
887-123290-0018_1116-137572-0012_5678-43301-0003_5022-29405-0013_5750-100289-0048,887.0,F,1116.0,F,5678.0,M,5022.0,F,5750.0,M
7059-88364-0031_8088-284756-0041_307-127535-0025_6064-56168-0006_2836-5354-0049,7059.0,F,8088.0,M,307.0,M,6064.0,F,2836.0,F
3440-171009-0064_1098-133695-0007_8123-275216-0029_8238-283452-0042_83-11691-0015,3440.0,F,1098.0,F,8123.0,F,8238.0,F,83.0,F
60-121082-0029_198-209-0009_4362-15663-0064_32-4137-0018_3240-131232-0024,60.0,M,198.0,F,4362.0,F,32.0,F,3240.0,M
254-127705-0025_1263-141777-0019_5390-30096-0002_4014-186175-0014_2911-7601-0047,254.0,M,1263.0,F,5390.0,M,4014.0,M,2911.0,M
1447-130552-0000_2836-5355-0023_1867-154071-0011_445-123860-0023_89-219-0019,1447.0,F,2836.0,F,1867.0,M,445.0,M,89.0,F
8838-298546-0005_6181-216552-0044_4051-10927-0024_5750-100289-0083_1355-39947-0026,8838.0,M,6181.0,M,4051.0,F,5750.0,M,1355.0,M
328-129766-0042_3723-171631-0000_211-122425-0044_6019-3185-0041_6000-55211-0011,328.0,F,3723.0,M,211.0,F,6019.0,M,6000.0,F
1116-132847-0014_1363-135842-0002_5104-33406-0047_5778-12761-0001_8238-274553-0034,1116.0,F,1363.0,F,5104.0,M,5778.0,F,8238.0,F
1963-142776-0019_302-123523-0037_2836-5355-0017_2911-7601-0042_8838-298546-0049,1963.0,F,302.0,F,2836.0,F,2911.0,M,8838.0,M
26-495-0086_7859-102519-0011_4340-15220-0083_1970-10594-0031_298-126790-0044,26.0,M,7859.0,F,4340.0,F,1970.0,F,298.0,F
5049-25947-0018_3240-131231-0040_3374-298026-0007_7226-86964-0001_6531-61334-0129,5049.0,M,3240.0,M,3374.0,M,7226.0,M,6531.0,F
405-130894-0058_730-360-0005_3983-5331-0037_6848-252323-0006_7113-86041-0082,405.0,M,730.0,F,3983.0,F,6848.0,M,7113.0,F
7800-283493-0013_87-121553-0081_2910-131096-0062_7859-102521-0017_19-227-0054,7800.0,F,87.0,F,2910.0,F,7859.0,F,19.0,F
887-123289-0009_374-180298-0063_2092-145706-0005_289-121665-0023_412-126975-0077,887.0,F,374.0,M,2092.0,F,289.0,F,412.0,M
5390-30102-0021_1502-122619-0077_4297-13006-0038_8238-283452-0015_254-27760-0029,5390.0,M,1502.0,F,4297.0,F,8238.0,F,254.0,M
60-121082-0048_8095-274346-0003_163-122947-0043_5789-57195-0037_1116-137572-0040,60.0,M,8095.0,M,163.0,M,5789.0,F,1116.0,F
8465-246942-0007_5163-39921-0015_8312-279790-0032_8797-294123-0010_5561-39621-0036,8465.0,F,5163.0,F,8312.0,F,8797.0,M,5561.0,F
1455-134435-0026_4406-16882-0038_3486-166446-0009_19-227-0031_7264-92314-0028,1455.0,M,4406.0,M,3486.0,M,19.0,F,7264.0,M
3983-5371-0007_4813-248638-0026_2136-5147-0010_5456-62014-0015_4640-19188-0016,3983.0,F,4813.0,M,2136.0,M,5456.0,M,4640.0,F
4051-11218-0020_458-126290-0015_3240-131231-0014_26-495-0056_8629-261139-0073,4051.0,F,458.0,M,3240.0,M,26.0,M,8629.0,M
4813-248641-0049_6209-34600-0003_5049-25947-0113_5022-29405-0028_8630-305213-0045,4813.0,M,6209.0,M,5049.0,M,5022.0,F,8630.0,M
4441-76262-0009_6367-74004-0021_1455-138263-0049_4640-19187-0017_8063-274112-0002,4441.0,M,6367.0,M,1455.0,M,4640.0,F,8063.0,M
7178-34645-0035_2817-142371-0019_6078-54013-0041_6476-57446-0063_302-123504-0005,7178.0,F,2817.0,F,6078.0,F,6476.0,F,302.0,F
4267-287369-0037_3235-28452-0013_2911-15084-0010_322-124146-0029_1263-141777-0002,4267.0,M,3235.0,F,2911.0,M,322.0,F,1263.0,F
730-360-0020_5678-43302-0034_441-130108-0020_8063-274112-0031_887-123291-0013,730.0,F,5678.0,M,441.0,F,8063.0,M,887.0,F
6367-65536-0067_1040-133433-0071_250-140277-0007_2092-145709-0001_669-129074-0008,6367.0,M,1040.0,M,250.0,F,2092.0,F,669.0,F
5808-48608-0057_200-124139-0002_5561-41616-0002_7078-271888-0086_4788-91208-0018,5808.0,M,200.0,F,5561.0,F,7078.0,F,4788.0,M
3664-178355-0018_118-121721-0010_8629-261139-0046_887-123291-0036_5393-19218-0031,3664.0,M,118.0,M,8629.0,M,887.0,F,5393.0,F
7800-283478-0023_302-123504-0016_8465-246947-0014_3168-173564-0043_87-121553-0090,7800.0,F,302.0,F,8465.0,F,3168.0,M,87.0,F
3240-131231-0080_6454-107462-0012_7402-90848-0041_8838-298546-0020_4788-94904-0024,3240.0,M,6454.0,M,7402.0,M,8838.0,M,4788.0,M
1246-124550-0020_4137-11701-0032_1081-125237-0032_1841-150351-0005_2159-179157-0016,1246.0,F,4137.0,F,1081.0,M,1841.0,F,2159.0,M
5456-24741-0021_4397-15666-0024_3259-158083-0037_2159-179156-0030_8095-274345-0020,5456.0,M,4397.0,M,3259.0,F,2159.0,M,8095.0,M
27-123349-0044_87-121553-0107_2518-154826-0028_2007-149877-0018_839-130898-0048,27.0,M,87.0,F,2518.0,M,2007.0,F,839.0,M
8123-275216-0030_8226-274371-0030_7635-105661-0004_4297-13006-0044_2289-152254-0022,8123.0,F,8226.0,M,7635.0,F,4297.0,F,2289.0,M
3235-11599-0024_5778-54535-0014_7178-34644-0070_7402-59171-0006_8580-287364-0039,3235.0,F,5778.0,F,7178.0,F,7402.0,M,8580.0,M
4088-158077-0007_2007-149877-0010_5163-18515-0023_2843-152918-0016_322-124146-0001,4088.0,F,2007.0,F,5163.0,F,2843.0,M,322.0,F
6454-107462-0010_125-121124-0074_1624-168623-0032_211-122442-0054_7505-258964-0036,6454.0,M,125.0,F,1624.0,M,211.0,F,7505.0,M
6147-34606-0002_1926-147979-0048_911-128684-0077_118-47824-0011_625-132112-0041,6147.0,F,1926.0,F,911.0,M,118.0,M,625.0,M
332-128985-0007_4297-13009-0054_5678-43302-0000_298-126790-0026_7178-34644-0055,332.0,M,4297.0,F,5678.0,M,298.0,F,7178.0,F
1081-125237-0077_6209-34600-0034_6529-62554-0051_3374-298026-0034_1578-6379-0014,1081.0,M,6209.0,M,6529.0,M,3374.0,M,1578.0,F
