mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
4406-16883-0019_1116-137572-0004_4680-16042-0035,4406.0,M,1116.0,F,4680.0,F
27-124992-0035_6000-55211-0022_89-219-0047,27.0,M,6000.0,F,89.0,F
2416-152139-0002_5867-48852-0101_8226-274369-0056,2416.0,F,5867.0,F,8226.0,M
7635-105661-0036_2436-2477-0014_6019-3185-0063,7635.0,F,2436.0,M,6019.0,M
8088-284756-0091_8580-287364-0021_446-123501-0037,8088.0,M,8580.0,M,446.0,M
374-180298-0035_3982-182255-0033_3807-4955-0002,374.0,M,3982.0,F,3807.0,M
1116-137572-0048_4397-15678-0016_4898-28461-0044,1116.0,F,4397.0,M,4898.0,M
6147-34605-0036_4214-7146-0049_3486-166424-0072,6147.0,F,4214.0,F,3486.0,M
2514-149482-0058_7511-102419-0015_103-1240-0026,2514.0,M,7511.0,F,103.0,F
196-122152-0015_2002-139469-0027_6454-120342-0002,196.0,M,2002.0,M,6454.0,M
8226-274371-0046_1926-143879-0016_2989-138035-0007,8226.0,M,1926.0,F,2989.0,F
5463-39173-0038_1594-135914-0045_1235-135884-0038,5463.0,M,1594.0,M,1235.0,M
5456-62043-0010_83-11691-0036_8108-274318-0022,5456.0,M,83.0,F,8108.0,M
403-126855-0021_229-130880-0056_8419-286676-0029,403.0,F,229.0,M,8419.0,M
8098-278252-0010_7264-92314-0018_6454-93938-0021,8098.0,M,7264.0,M,6454.0,M
2817-142371-0075_7517-100429-0009_2989-138028-0036,2817.0,F,7517.0,F,2989.0,F
4830-25904-0013_3699-19401-0016_5750-100289-0052,4830.0,M,3699.0,M,5750.0,M
1355-39947-0038_3486-166424-0029_2910-131096-0070,1355.0,M,3486.0,M,2910.0,F
2416-152137-0017_1926-143879-0011_7402-59171-0031,2416.0,F,1926.0,F,7402.0,M
4813-248638-0050_4160-11550-0008_6925-80680-0030,4813.0,M,4160.0,F,6925.0,M
8609-262281-0034_730-358-0032_2518-154825-0048,8609.0,M,730.0,F,2518.0,M
6385-34669-0031_1970-26100-0015_19-227-0047,6385.0,F,1970.0,F,19.0,F
1841-179183-0019_4813-248638-0006_460-172359-0040,1841.0,F,4813.0,M,460.0,M
322-124147-0000_8123-275216-0044_1841-159771-0036,322.0,F,8123.0,F,1841.0,F
8747-293952-0026_911-128684-0069_40-222-0015,8747.0,M,911.0,M,40.0,F
6209-34599-0033_78-368-0046_4406-16883-0009,6209.0,M,78.0,M,4406.0,M
6836-61803-0038_1034-121119-0031_8419-293469-0009,6836.0,M,1034.0,M,8419.0,M
887-123291-0031_4340-15220-0095_1963-142776-0025,887.0,F,4340.0,F,1963.0,F
78-368-0029_4340-15220-0011_458-126305-0019,78.0,M,4340.0,F,458.0,M
3857-180923-0028_5789-57195-0013_2952-408-0001,3857.0,M,5789.0,F,2952.0,M
4014-186179-0029_1069-133709-0034_1455-134435-0041,4014.0,M,1069.0,F,1455.0,M
163-122947-0007_8238-283452-0022_8095-274346-0001,163.0,M,8238.0,F,8095.0,M
8580-287363-0013_6078-54007-0004_7278-104730-0013,8580.0,M,6078.0,F,7278.0,M
2952-408-0025_2416-152139-0050_8770-295463-0007,2952.0,M,2416.0,F,8770.0,M
6454-93938-0013_481-123719-0022_4640-19189-0025,6454.0,M,481.0,M,4640.0,F
5339-14133-0043_4195-186237-0032_3486-166424-0066,5339.0,F,4195.0,F,3486.0,M
669-129061-0033_4014-186179-0013_8468-294887-0003,669.0,F,4014.0,M,8468.0,F
211-122442-0079_8312-279791-0051_39-121915-0016,211.0,F,8312.0,F,39.0,F
2416-152139-0016_3699-19402-0008_2911-12359-0014,2416.0,F,3699.0,M,2911.0,M
6563-63821-0000_5778-12761-0031_1116-137572-0046,6563.0,M,5778.0,F,1116.0,F
3983-5331-0002_3374-298025-0020_5049-25947-0109,3983.0,F,3374.0,M,5049.0,M
125-121342-0033_4137-11702-0042_2952-407-0016,125.0,F,4137.0,F,2952.0,M
6272-70168-0014_32-21631-0006_8630-305213-0009,6272.0,F,32.0,F,8630.0,M
3879-174923-0011_7278-104730-0020_60-121082-0005,3879.0,F,7278.0,M,60.0,M
8123-275216-0022_2136-5140-0012_2843-152918-0027,8123.0,F,2136.0,M,2843.0,M
6209-34600-0009_103-1241-0007_7312-92432-0004,6209.0,M,103.0,F,7312.0,M
226-131532-0019_7278-246956-0024_5390-24512-0039,226.0,F,7278.0,M,5390.0,M
5163-39921-0047_6925-80680-0004_3830-12530-0007,5163.0,F,6925.0,M,3830.0,M
8419-286667-0026_8975-270782-0037_6000-55211-0027,8419.0,M,8975.0,F,6000.0,F
1841-150351-0004_125-121124-0026_1246-124548-0027,1841.0,F,125.0,F,1246.0,F
5192-19397-0015_2843-152918-0049_2691-156750-0031,5192.0,M,2843.0,M,2691.0,F
5022-29411-0058_32-4137-0051_669-129061-0077,5022.0,F,32.0,F,669.0,F
2136-5143-0022_3235-28433-0002_8468-294887-0037,2136.0,M,3235.0,F,8468.0,F
3982-178459-0059_200-124140-0026_3983-5371-0008,3982.0,F,200.0,F,3983.0,F
328-129766-0034_5808-48608-0055_3168-173564-0016,328.0,F,5808.0,M,3168.0,M
3879-174923-0042_426-122819-0005_2436-2477-0021,3879.0,F,426.0,F,2436.0,M
1447-130552-0013_5339-14134-0000_7402-59171-0022,1447.0,F,5339.0,F,7402.0,M
5456-62043-0030_1502-122615-0034_150-126107-0014,5456.0,M,1502.0,F,150.0,F
8088-284756-0056_5322-7678-0015_481-123720-0038,8088.0,M,5322.0,M,481.0,M
446-123501-0016_1235-135884-0020_4088-158077-0043,446.0,M,1235.0,M,4088.0,F
374-180298-0004_911-128684-0036_103-1240-0055,374.0,M,911.0,M,103.0,F
5022-29411-0028_1867-154075-0017_1263-139804-0000,5022.0,F,1867.0,M,1263.0,F
211-122425-0018_1553-140047-0019_1355-39947-0078,211.0,F,1553.0,F,1355.0,M
8095-274345-0004_458-126305-0036_1246-124550-0001,8095.0,M,458.0,M,1246.0,F
5750-100289-0064_1235-135883-0001_5678-43302-0033,5750.0,M,1235.0,M,5678.0,M
8324-286683-0018_1502-122619-0018_7635-105409-0008,8324.0,F,1502.0,F,7635.0,F
298-126791-0003_1841-159771-0010_5390-30096-0015,298.0,F,1841.0,F,5390.0,M
2416-152139-0008_7367-86737-0063_2911-12359-0025,2416.0,F,7367.0,M,2911.0,M
405-130895-0037_2159-179157-0011_6367-74004-0024,405.0,M,2159.0,M,6367.0,M
3699-19402-0016_6880-216547-0041_5789-57195-0000,3699.0,M,6880.0,M,5789.0,F
5789-57195-0023_8108-280359-0027_2391-145015-0091,5789.0,F,8108.0,M,2391.0,F
6019-3185-0049_3235-11599-0000_1235-135887-0001,6019.0,M,3235.0,F,1235.0,M
5750-100289-0063_3235-11599-0019_200-126784-0021,5750.0,M,3235.0,F,200.0,F
6454-93938-0020_4859-29340-0023_3983-5371-0031,6454.0,M,4859.0,M,3983.0,F
2893-139310-0025_5514-19193-0016_1578-6379-0040,2893.0,M,5514.0,F,1578.0,F
8095-274345-0009_3699-19402-0007_5789-70653-0015,8095.0,M,3699.0,M,5789.0,F
3879-173592-0039_6385-220959-0012_7794-295955-0027,3879.0,F,6385.0,F,7794.0,F
7113-86041-0013_5688-41232-0023_3436-172171-0038,7113.0,F,5688.0,F,3436.0,M
311-124404-0052_2836-5354-0000_8468-286673-0027,311.0,M,2836.0,F,8468.0,F
2843-152918-0002_8123-275209-0024_118-121721-0005,2843.0,M,8123.0,F,118.0,M
6531-61334-0084_78-369-0047_831-130746-0056,6531.0,F,78.0,M,831.0,M
7447-91186-0022_1455-134435-0018_3168-173565-0020,7447.0,M,1455.0,M,3168.0,M
5393-19219-0004_5750-100289-0082_6081-42010-0004,5393.0,F,5750.0,M,6081.0,M
1355-39947-0009_5789-57158-0002_6836-61804-0004,1355.0,M,5789.0,F,6836.0,M
1246-124550-0006_4214-7146-0022_911-128684-0038,1246.0,F,4214.0,F,911.0,M
6181-216552-0098_6147-34606-0007_125-121124-0086,6181.0,M,6147.0,F,125.0,F
7517-100442-0009_6209-34600-0007_4481-17498-0000,7517.0,F,6209.0,M,4481.0,F
3168-173565-0032_839-130898-0060_6529-62556-0041,3168.0,M,839.0,M,6529.0,M
1334-135589-0070_2514-149482-0043_7113-86041-0073,1334.0,M,2514.0,M,7113.0,F
4160-11549-0028_8098-278252-0005_2843-152918-0106,4160.0,F,8098.0,M,2843.0,M
458-126305-0005_39-121914-0021_7517-100442-0016,458.0,M,39.0,F,7517.0,F
3486-166424-0015_2289-152258-0025_8238-283452-0028,3486.0,M,2289.0,M,8238.0,F
7635-105661-0047_311-124404-0105_254-127705-0001,7635.0,F,311.0,M,254.0,M
8226-274371-0032_4406-16882-0007_27-123349-0012,8226.0,M,4406.0,M,27.0,M
730-359-0023_8226-274369-0062_8609-283227-0006,730.0,F,8226.0,M,8609.0,M
32-4137-0049_8465-246943-0012_8747-293952-0068,32.0,F,8465.0,F,8747.0,M
298-126790-0010_4898-20016-0020_3240-131231-0067,298.0,F,4898.0,M,3240.0,M
3699-19402-0001_8098-278278-0026_5163-39921-0035,3699.0,M,8098.0,M,5163.0,F
460-172357-0015_2691-156745-0007_1088-134315-0000,460.0,M,2691.0,F,1088.0,F
1034-121119-0057_5789-70653-0031_1363-139304-0024,1034.0,M,5789.0,F,1363.0,F
3240-131231-0003_8629-261140-0019_2196-170379-0003,3240.0,M,8629.0,M,2196.0,F
163-122947-0015_4014-186176-0016_7190-90542-0013,163.0,M,4014.0,M,7190.0,M
3240-131231-0077_1447-17506-0003_4441-76262-0033,3240.0,M,1447.0,F,4441.0,M
4195-17507-0029_1926-147979-0025_250-142276-0019,4195.0,F,1926.0,F,250.0,F
3607-135982-0006_3112-9555-0023_32-4137-0037,3607.0,M,3112.0,F,32.0,F
7859-102519-0037_2196-174172-0016_1034-121119-0086,7859.0,F,2196.0,F,1034.0,M
332-128985-0005_4014-186176-0027_6385-34669-0005,332.0,M,4014.0,M,6385.0,F
201-127786-0060_8123-275209-0020_8088-284756-0071,201.0,M,8123.0,F,8088.0,M
8123-275216-0007_7302-86814-0017_1246-124550-0022,8123.0,F,7302.0,F,1246.0,F
8838-298545-0006_7078-271888-0114_1088-134315-0056,8838.0,M,7078.0,F,1088.0,F
446-123502-0049_5678-43303-0016_7113-86041-0088,446.0,M,5678.0,M,7113.0,F
150-126107-0000_4088-158077-0058_3235-28433-0000,150.0,F,4088.0,F,3235.0,F
403-216-0026_2952-410-0034_4830-25904-0039,403.0,F,2952.0,M,4830.0,M
4137-11702-0033_2989-138028-0075_7794-295947-0039,4137.0,F,2989.0,F,7794.0,F
2289-152254-0009_40-121026-0001_7511-102419-0055,2289.0,M,40.0,F,7511.0,F
2416-152137-0033_3830-12535-0014_332-128985-0029,2416.0,F,3830.0,M,332.0,M
3235-28452-0033_302-123523-0018_328-129766-0037,3235.0,F,302.0,F,328.0,F
2384-152900-0025_3879-174923-0024_200-124139-0030,2384.0,M,3879.0,F,200.0,F
6415-116629-0016_5390-24512-0029_7178-34645-0020,6415.0,F,5390.0,M,7178.0,F
7264-92316-0013_2391-145015-0096_6078-54007-0000,7264.0,M,2391.0,F,6078.0,F
1040-133433-0002_2416-152139-0011_2196-174172-0032,1040.0,M,2416.0,F,2196.0,F
2911-7601-0013_1334-135589-0077_3947-13262-0030,2911.0,M,1334.0,M,3947.0,F
7859-102519-0028_6019-3185-0005_587-41611-0008,7859.0,F,6019.0,M,587.0,F
5561-41615-0025_6563-285357-0021_4340-15220-0041,5561.0,F,6563.0,M,4340.0,F
6081-41997-0007_8088-284756-0060_4481-17498-0018,6081.0,M,8088.0,M,4481.0,F
3374-298032-0033_322-124146-0013_2391-145015-0059,3374.0,M,322.0,F,2391.0,F
229-130880-0082_1926-147979-0020_7367-86737-0066,229.0,M,1926.0,F,7367.0,M
2007-149877-0001_446-123501-0007_6848-252322-0000,2007.0,F,446.0,M,6848.0,M
3235-28433-0005_2436-2477-0013_289-121665-0024,3235.0,F,2436.0,M,289.0,F
1898-145715-0042_839-130898-0085_1363-135842-0030,1898.0,F,839.0,M,1363.0,F
2196-170151-0026_250-142276-0014_1098-133695-0064,2196.0,F,250.0,F,1098.0,F
3242-67153-0010_5808-48608-0053_200-126784-0014,3242.0,M,5808.0,M,200.0,F
233-155990-0042_4397-15678-0040_481-123720-0014,233.0,M,4397.0,M,481.0,M
5322-7678-0026_4441-76263-0018_2691-156755-0013,5322.0,M,4441.0,M,2691.0,F
1594-135914-0009_5463-39173-0057_2691-156745-0029,1594.0,M,5463.0,M,2691.0,F
1594-135914-0021_6081-41997-0035_32-4137-0052,1594.0,M,6081.0,M,32.0,F
4160-11549-0016_4640-19188-0016_374-180298-0019,4160.0,F,4640.0,F,374.0,M
412-126975-0006_289-121652-0005_7190-90542-0059,412.0,M,289.0,F,7190.0,M
3214-167607-0029_8468-295198-0002_7367-86737-0055,3214.0,M,8468.0,F,7367.0,M
7113-86041-0035_6209-34599-0025_2764-36619-0019,7113.0,F,6209.0,M,2764.0,F
2691-156755-0024_8975-270782-0100_4362-15663-0050,2691.0,F,8975.0,F,4362.0,F
5561-41616-0033_226-122538-0006_5192-19397-0020,5561.0,F,226.0,F,5192.0,M
1040-133433-0063_2764-36619-0031_4014-186175-0026,1040.0,M,2764.0,F,4014.0,M
831-130746-0008_3436-172171-0058_911-130578-0000,831.0,M,3436.0,M,911.0,M
3947-13260-0007_2952-410-0052_1867-154071-0027,3947.0,F,2952.0,M,1867.0,M
5339-14134-0066_2911-15045-0028_8747-293952-0107,5339.0,F,2911.0,M,8747.0,M
5688-15787-0042_4853-27671-0006_8419-286667-0016,5688.0,F,4853.0,F,8419.0,M
7505-83618-0005_6272-70168-0023_730-358-0046,7505.0,M,6272.0,F,730.0,F
2002-139469-0093_7859-102521-0001_7511-102419-0054,2002.0,M,7859.0,F,7511.0,F
374-180298-0063_3259-158083-0099_5390-30096-0021,374.0,M,3259.0,F,5390.0,M
26-495-0022_5049-25947-0110_2952-410-0029,26.0,M,5049.0,M,2952.0,M
1235-135887-0015_3830-12531-0017_2764-36619-0041,1235.0,M,3830.0,M,2764.0,F
4680-16026-0001_3374-298026-0009_3607-29116-0042,4680.0,F,3374.0,M,3607.0,M
2002-139469-0022_7113-86041-0091_5867-48852-0058,2002.0,M,7113.0,F,5867.0,F
7635-105409-0064_8629-261139-0005_2136-5143-0020,7635.0,F,8629.0,M,2136.0,M
4088-158077-0009_4397-15668-0036_5022-29411-0046,4088.0,F,4397.0,M,5022.0,F
4680-16042-0034_6385-34655-0017_201-122255-0002,4680.0,F,6385.0,F,201.0,M
7794-295955-0014_1088-134315-0002_8123-275209-0011,7794.0,F,1088.0,F,8123.0,F
289-121665-0039_2092-145709-0000_6000-55211-0036,289.0,F,2092.0,F,6000.0,F
2518-154826-0022_4014-186179-0044_6078-54013-0075,2518.0,M,4014.0,M,6078.0,F
6147-34605-0017_6081-42010-0028_1116-137572-0041,6147.0,F,6081.0,M,1116.0,F
7148-7763-0006_7059-77900-0034_5163-39921-0051,7148.0,F,7059.0,F,5163.0,F
4859-22176-0007_4014-186179-0043_7517-100429-0028,4859.0,M,4014.0,M,7517.0,F
6563-63821-0007_8238-283452-0040_5104-33406-0006,6563.0,M,8238.0,F,5104.0,M
7178-34644-0029_6415-100596-0035_3807-4923-0055,7178.0,F,6415.0,F,3807.0,M
4853-27671-0022_405-130895-0018_39-121914-0024,4853.0,F,405.0,M,39.0,F
1502-122619-0030_1246-124550-0035_6000-55211-0003,1502.0,F,1246.0,F,6000.0,F
250-142276-0004_7278-246956-0026_4441-76262-0035,250.0,F,7278.0,M,4441.0,M
4297-13009-0065_3374-298032-0018_1963-142776-0001,4297.0,F,3374.0,M,1963.0,F
1098-133695-0014_2159-179157-0029_5456-62043-0032,1098.0,F,2159.0,M,5456.0,M
3374-298032-0008_1594-135914-0006_1355-39947-0087,3374.0,M,1594.0,M,1355.0,M
1246-124548-0001_6019-3185-0082_8630-305213-0012,1246.0,F,6019.0,M,8630.0,M
1040-133433-0037_3947-13262-0023_233-134440-0048,1040.0,M,3947.0,F,233.0,M
8580-287364-0028_887-123289-0007_1963-142776-0015,8580.0,M,887.0,F,1963.0,F
1455-138263-0033_2384-152900-0011_8123-275216-0025,1455.0,M,2384.0,M,8123.0,F
1723-141149-0016_2002-139469-0006_2196-170151-0014,1723.0,M,2002.0,M,2196.0,F
5867-48852-0027_233-155990-0022_6836-61803-0043,5867.0,F,233.0,M,6836.0,M
8465-246942-0013_2910-131096-0043_7190-90542-0052,8465.0,F,2910.0,F,7190.0,M
1594-135914-0056_1502-122619-0005_1743-142914-0034,1594.0,M,1502.0,F,1743.0,M
1455-138263-0022_2092-145706-0054_1088-129236-0025,1455.0,M,2092.0,F,1088.0,F
3486-166424-0064_5393-19218-0005_6385-34669-0020,3486.0,M,5393.0,F,6385.0,F
2002-139469-0041_3723-171115-0025_2436-2477-0029,2002.0,M,3723.0,M,2436.0,M
2182-181183-0019_4088-158079-0006_2289-152257-0023,2182.0,F,4088.0,F,2289.0,M
89-219-0049_4859-26870-0013_3168-173564-0026,89.0,F,4859.0,M,3168.0,M
3259-158083-0115_3242-67168-0000_4830-25904-0027,3259.0,F,3242.0,M,4830.0,M
332-128985-0081_2952-410-0053_7113-86041-0048,332.0,M,2952.0,M,7113.0,F
4481-17499-0021_4788-94904-0009_831-130746-0007,4481.0,F,4788.0,M,831.0,M
3440-171009-0035_8088-284756-0028_5514-19193-0019,3440.0,F,8088.0,M,5514.0,F
4137-11702-0021_405-130894-0069_4267-287369-0005,4137.0,F,405.0,M,4267.0,M
118-47824-0041_3168-173564-0018_6367-65536-0008,118.0,M,3168.0,M,6367.0,M
3830-12535-0005_7794-295948-0025_5022-29411-0002,3830.0,M,7794.0,F,5022.0,F
1553-140047-0051_5393-19218-0012_103-1240-0005,1553.0,F,5393.0,F,103.0,F
4362-15663-0073_8095-274346-0008_5049-25947-0085,4362.0,F,8095.0,M,5049.0,M
250-142276-0058_27-123349-0006_5163-39921-0036,250.0,F,27.0,M,5163.0,F
7800-283492-0025_4018-107338-0002_8051-119902-0010,7800.0,F,4018.0,M,8051.0,F
4362-15663-0079_150-132655-0027_6529-62554-0037,4362.0,F,150.0,F,6529.0,M
6880-216547-0084_8324-286683-0038_1355-39947-0077,6880.0,M,8324.0,F,1355.0,M
5322-7680-0004_831-130746-0002_5104-33406-0038,5322.0,M,831.0,M,5104.0,M
2196-174172-0029_7067-76048-0025_6415-116629-0014,2196.0,F,7067.0,M,6415.0,F
7278-246956-0027_4397-15678-0022_7794-295947-0026,7278.0,M,4397.0,M,7794.0,F
7278-246956-0004_201-127786-0013_6476-57446-0039,7278.0,M,201.0,M,6476.0,F
5778-12761-0017_1502-122619-0039_587-54108-0011,5778.0,F,1502.0,F,587.0,F
5049-25947-0066_8095-274345-0017_27-123349-0054,5049.0,M,8095.0,M,27.0,M
441-130108-0033_887-123289-0024_229-130880-0038,441.0,F,887.0,F,229.0,M
2092-145706-0009_7794-295947-0021_5703-47198-0043,2092.0,F,7794.0,F,5703.0,M
